date,base_price,count,num_id
2019-01-01,3990.0453,2.0,7004802-904 _ 1009.0
2019-01-01,9.9158,2.0,10151782-222 _ 1064.0
2019-01-01,3995.9762,2.0,7038231-2906 _ 1103.0
2019-01-01,4000.0,1.0,8501101-925 _ 1008.0
2019-01-01,169.0,2.0,300-1079-010 _ 1103.0
2019-01-01,4023.0,1.0,1153236-1__NEW _ 1103.0
2019-01-01,4078.0,1.0,8520305-911 _ 1008.0
2019-01-01,91.7642,2.0,46-1551-5 _ 1600.0
2019-01-01,4082.34,1.0,4012373-905__CAR _ 1103.0
2019-01-01,9.9601,2.0,10151782-218 _ 1064.0
2019-01-01,4083.4,1.0,4012373-908__CAR _ 1103.0
2019-01-01,3989.1153,1.0,6256-176__REP _ 1103.0
2019-01-01,4614.6999,2.0,52000279-3003 _ 1073.0
2019-01-01,94.7545,2.0,91-0757-1 _ 1600.0
2019-01-01,4659.8913,1.0,34201700-2M22A _ 1039.0
2019-01-01,5628.03,1.0,153-018132-23__NEW _ 1009.0
2019-01-01,5684.9291,2.0,60000091-913 _ 1103.0
2019-01-01,154.4434,2.0,34208234-001 _ 1039.0
2019-01-01,5707.6983,1.0,3757512-4 _ 1008.0
2019-01-01,5714.58,1.0,7516330-2 _ 5253.0
2019-01-01,5726.7192,2.0,7029782-2913 _ 1103.0
2019-01-01,154.2058,2.0,68006275-101 _ 1064.0
2019-01-01,5758.1388,2.0,7029782-2923 _ 1103.0
2019-01-01,0.7004,2.0,CDR33BX104AKWSAT _ 1006.0
2019-01-01,1.1904,2.0,53502460-1 _ 1039.0
2019-01-01,99.062,2.0,8533363 _ 1073.0
2019-01-01,155.1502,2.0,10162085-101 _ 1064.0
2019-01-01,5798.57,2.0,8531276-920 _ 1073.0
2019-01-01,5939.1574,2.0,26014376-106 _ 5253.0
2019-01-01,5995.5846,2.0,52000784-3051 _ 1073.0
2019-01-01,1.18,1.0,089-06368-0004 _ 5210.0
2019-01-01,6024.3333,2.0,7007740-4//CM _ 1103.0
2019-01-01,6034.5136,1.0,4012373-919__CAR _ 1103.0
2019-01-01,6042.07,1.0,153-018132-22__NEW _ 1009.0
2019-01-01,6099.11,1.0,4012373-918__CAR _ 1103.0
2019-01-01,6099.11,1.0,4012373-920__CAR _ 1103.0
2019-01-01,150.9958,2.0,46-2956-1 _ 1600.0
2019-01-01,150.6507,2.0,7003155-901 _ 1009.0
2019-01-01,6147.7082,2.0,7025050-941-TB _ 1103.0
2019-01-01,5871.25,1.0,8525420-2__MAJ _ 1073.0
2019-01-01,5567.67,1.0,4073970-951 _ 1009.0
2019-01-01,0.6927,2.0,53500510-16 _ 1600.0
2019-01-01,5505.35,2.0,8660231-0001 _ 1073.0
2019-01-01,1.2644,2.0,72552828-1 _ 1600.0
2019-01-01,1.2631,2.0,4077565-1 _ 5210.0
2019-01-01,95.077,2.0,26022062-101 _ 1062.0
2019-01-01,4800.42,1.0,4089300-901 _ 5210.0
2019-01-01,4805.8234,2.0,60000892-1901 _ 5210.0
2019-01-01,10.3451,2.0,31-3227-1 _ 1600.0
2019-01-01,4877.23,1.0,3822333-1 _ 1008.0
2019-01-01,10.4017,2.0,9998552 _ 1600.0
2019-01-01,159.4868,2.0,10148744-104 _ 1064.0
2019-01-01,4984.4979,2.0,205-00642-0002 _ 5253.0
2019-01-01,5053.8049,2.0,7021496-903K2 _ 5210.0
2019-01-01,5082.0,1.0,34200600-30H4 _ 1039.0
2019-01-01,16.485,2.0,31-3836-1 _ 1600.0
2019-01-01,5094.0,2.0,4084068-901 _ 1103.0
2019-01-01,5168.93,1.0,34209700-3N7A _ 1039.0
2019-01-01,5183.0,1.0,34200600-2C35A _ 1039.0
2019-01-01,5228.4233,2.0,8519970-901 _ 1073.0
2019-01-01,16.3608,2.0,CO0783 _ 1600.0
2019-01-01,157.12,2.0,34270771-002 _ 1039.0
2019-01-01,1.2298,2.0,090-00990-0014 _ 5210.0
2019-01-01,1.2245,2.0,60-1307-1 _ 1600.0
2019-01-01,5366.2475,2.0,4053050-901 _ 1009.0
2019-01-01,10.57,2.0,10141956-102P010 _ 1064.0
2019-01-01,5416.0273,2.0,4005855 _ 1073.0
2019-01-01,5445.0,1.0,7516193-901 _ 1103.0
2019-01-01,90.01,2.0,192-09857-0000 _ 5210.0
2019-01-01,17.772000000000006,2.0,088-00145-0007 _ 5210.0
2019-01-01,1.3701,2.0,60-1198-1 _ 1600.0
2019-01-01,3766.76,1.0,3822327-1 _ 1008.0
2019-01-01,2834.72,1.0,7000261-604__CAR _ 1103.0
2019-01-01,19.49,1.0,4056871-3 _ 5253.0
2019-01-01,82.92,1.0,25-1846-0028YF _ 1600.0
