,base_price,date,count,num_id
33275,6.12,1/2/2019,2,007-00230-0005 _ 5210.0
33274,6.12,1/2/2019,2,12051267-0003 _ 5210.0
33253,6.09,1/2/2019,2,61-1238-3 _ 1600.0
34615,7.25,1/2/2019,2,ML512PJB333MLZ _ 1045.0
24568,2.0278,1/2/2019,2,CO8146 _ 1600.0
33257,6.1,1/2/2019,2,7005981-9 _ 1009.0
24566,2.0233,1/2/2019,2,3201653-1 _ 1009.0
33259,6.1,1/2/2019,2,8522092 _ 1073.0
33261,6.1,1/2/2019,2,10162654-102 _ 1064.0
24556,2.02,1/2/2019,2,53500121-1 _ 1008.0
24564,2.0221,1/2/2019,2,047-04977-0001 _ 1009.0
33263,6.1,1/2/2019,2,DE085 _ 1600.0
33267,6.11,1/2/2019,2,7510877-1 _ 5210.0
33269,6.11,1/2/2019,2,M55342K12B51E1R _ 1039.0
24560,2.02,1/2/2019,2,66-1869-1 _ 1600.0
33271,6.1133,1/2/2019,2,11-1193-1 _ 1600.0
24559,2.02,1/2/2019,2,60-0512-2 _ 1600.0
33273,6.12,1/2/2019,2,019-02369-0000 _ 5210.0
24542,2.0132,1/2/2019,2,158-0019-002 _ 1009.0
33254,6.09,1/2/2019,2,56-0717-1 _ 1600.0
23935,1.85,1/2/2019,2,RNC50J5621BS _ 1006.0
